Id,FirstName,LastName,Role
3f99685c-45fa-4ed2-99db-00f46a23b0de,Kentarou,Miura,StoryAndArt
1c14d9f1-79b7-433c-a762-881da945723a,,Studio Gaga,Art
f2bc8930-2edb-46e4-bbc9-e1a57fbced20,Eiichiro,Oda,StoryAndArt
f1bb9ff0-995e-4c22-9657-90022c7cee08,Hirohiko,Araki,StoryAndArt
bfd24e1f-1120-4c8c-a239-b887e353f20f,Inio,Asano,StoryAndArt
2239d319-bec3-4164-b88a-d133ec8991be,Hiromu,Arakawa,StoryAndArt
a6e1c17e-778a-44ee-a908-5003537b74ed,Takehiko,Inoue,StoryAndArt
7c303a73-6ab0-40aa-b5ac-704bfdc96699,Eiji,Yoshikawa,Story
95f95072-a159-42a1-b9e3-ab57f7b5ac04,Makoto,Yukimura,StoryAndArt
f366a426-c728-4974-9ad9-66d034f1a00c,Aka,Akasaka,StoryAndArt
020405a5-a42b-47ea-9e84-c3bb90546c45,Tatsuki,Fujimoto,StoryAndArt
15ed464e-105c-4c6d-8fea-79f759d277ce,Naoki,Urasawa,StoryAndArt
cf42cfb4-f35b-4960-ad35-c4967da81538,Yoshitoki,Ooima,StoryAndArt
be059181-bfd0-411e-b50c-7cb79c8a13f3,Yusuke,Murata,Art
6954ff23-e1ae-460f-b93f-c2b386aa11fe,,ONE,Story
f2307782-1231-4be4-807d-0326d4bbc09c,Takeshi,Obata,Art
8f456ea2-924b-4a0f-88b4-72d9d472139c,Tsugumi,Ohba,Story
2940a257-7267-417c-a601-fc61393b9be9,Haruichi,Furudate,StoryAndArt
f852bb31-5b72-48c0-a637-42c84c60fd80,Yoshihiro,Togashi,StoryAndArt
7e27b006-a400-4f02-a3e8-2f2f8262237d,Kenji,Inoue,Story
6afe80ce-c7c4-4222-8c72-e3847d2997f9,Kimitake,Yoshioka,Art
7eb6cddc-ad2f-44e4-ae63-2784567adc90,Shouichi,Taguchi,Art
b819cf1f-b9be-448e-be71-518ccb0495d6,Sugaru,Miaki,Story
117b3d52-8c61-4692-8c4c-8bac3fb16e32,Tooru,Fujisawa,StoryAndArt
ed2fe061-72e0-4bd1-9257-f13a73d0bf9e,Yasuhisa,Hara,StoryAndArt
7d4e53be-500d-4673-bcf0-2a3900ac58a7,Hajime,Isayama,StoryAndArt
b5d3bafc-1189-4b8a-a9c5-2e1476f7c5a1,Tatsuya,Endou,StoryAndArt
21bb717c-574e-4a70-ae97-84d874a7ee54,Sui,Ishida,StoryAndArt
9d8b499b-76c0-4ccb-96e5-f668b36dc1e1,Gege,Akutami,StoryAndArt
ec0aba52-6684-469f-8bd9-dc92d36437e1,Aka,Akasaka,Story
af5c0059-d714-476c-a8ba-31e09a7e7c04,Mengo,Yokoyari,Art
088756f9-ba24-41bd-a273-9746aeed1313,Mizuho,Kusanagi,StoryAndArt
f79f21d8-982e-4c7f-a156-5c2a2933c370,Q,Hayashida,StoryAndArt
741e390d-dd52-4b33-86c2-f1d4ff272c25,Haruko,Ichikawa,StoryAndArt
e3051631-b3d2-453c-b625-f2775f077258,Ai,Yazawa,StoryAndArt
b5e3c21b-d8a9-44e1-9a4d-1e690fc0b8d1,Muneyuki,Kaneshiro,Story
2343e431-75e9-424e-ad00-a44fc34d455b,Yuusuke,Nomura,Art
cddc5a25-3520-4943-a1c3-9f05633d6694,Jun,Mochizuki,StoryAndArt
4b364f1d-48c3-40c0-9190-c7d5086efbce,Natsuki,Takaya,StoryAndArt
a0195f79-6b52-4c01-89af-e0aad7cc638e,Katsuhiro,Otomo,StoryAndArt
153c496f-8a54-4d2e-b423-a42d3209d65f,Daisuke,Hagiwara,Art
8bd5aa55-db9a-4994-8b7c-73d30d4affe2,,HERO,Story
0b54d2b3-dc3e-4c42-ad18-67c06bb7b84a,Yoshiyuki,Sadamoto,StoryAndArt
a53f73df-8ceb-49ae-bb81-d585190e9309,Osamu,Tezuka,Story
a82c353d-7ed3-4e9e-8caf-958c8fe10663,Sumomo,Yumeka,Art
223c9eec-8f39-4b0f-b329-c469a38679a0,Nobuhiro,Watsuki,StoryAndArt
9712bb2a-04cb-474d-8684-b4fa26e61ad0,George,Morikawa,StoryAndArt
632376f7-0a27-4793-8e0e-a5fa139f930b,Hideaki,Sorachi,StoryAndArt
21007e84-129b-4283-a44d-091c1f385949,Bisco,Hatori,StoryAndArt
19e8f7e9-5378-4ea6-a0c0-191efcdd0a4f,Akira,Toriyama,StoryAndArt
1aa2ae6c-c9bf-4c30-b7e4-7fb76a5495e3,Tsubasa,Yamaguchi,StoryAndArt
365c7226-081a-48ad-a0e4-12c25352386a,Yoshiki,Nakamura,StoryAndArt
1239ac3f-0c52-4787-8d99-e6e21322cec2,Tamiki,Wakaki,StoryAndArt
553f2f24-ed3a-4e9c-9699-64dcd6038f6f,Iro,Aida,StoryAndArt
8f443a63-794a-42da-81f1-01162fa1959a,Shinichi,Sakamoto,StoryAndArt
a96213a9-9a87-4e0b-a6ab-69a7fc702495,Hiro,Fujiwara,StoryAndArt
d0edb2ba-0a6a-40c4-a4f4-0f8e15fc89ae,Harold,Sakuishi,StoryAndArt
983d5b03-72c4-46c0-b145-436f142c0b86,Yana,Toboso,StoryAndArt
576a4655-ec21-4ade-b728-9cff8ed77702,Naoshi,Arakawa,StoryAndArt
2afa39d5-c417-4825-a4d7-e404d3ff59e3,,Adachitoka,StoryAndArt
159b8343-efa2-4a31-a51b-cdb3966bf91d,Julietta,Suzuki,StoryAndArt
3de24603-df2f-4d53-bd3b-4d3db0d1e28d,Taiki,Kawakami,Art
475d1780-b20c-4c2b-9c8f-f36ad605d00b,,Fuse,Story
a068997d-3aa3-4a36-82cc-0f846111d543,Riichiro,Inagaki,Story
c19b4bb0-283c-4a74-93dc-ae6f6bd19a2d,Satoru,Noda,StoryAndArt
d7eb7c4d-f314-445f-885c-dec22c061be5,Kanehito,Yamada,Story
e5679886-9fae-4b7b-829d-1705153b3790,Tsukasa,Abe,Art
b3a761a1-18d3-4239-a9fa-5e12572e71d4,Hitoshi,Iwaaki,StoryAndArt
bcde4509-bea2-471d-bd01-4f2f82ac7a46,Norihiro,Yagi,StoryAndArt
74a67e98-4314-43d5-a323-2e6fd631e551,Ichigo,Takano,StoryAndArt
aa8f8f5f-af49-4d48-9cdd-d36e165772ed,Chika,Umino,StoryAndArt
bf3dea21-9798-4d97-a402-81c7e7694f89,Kafka,Asagiri,Story
39193454-e0f2-4a65-b578-27bed6f59e02,,Harukawa35,Art
6555f27f-af5e-4dc0-af6c-d19cb6bc646b,Yuki,Urushibara,StoryAndArt
c370dc13-c315-4f8a-83dc-10bfead639cf,Kouji,Mori,StoryAndArt
07550aa4-d393-4047-86bb-c5ed43f3358b,Hideo,Yamamoto,StoryAndArt
14d2ce21-4b13-45c8-8847-dfc00f78532e,Kei,Sanbe,StoryAndArt
2beb72f1-9694-433e-9e22-dbf933b0d882,Hitoshi,Ashinano,StoryAndArt
62103b48-2b85-4f25-a4e2-69ad0b501e1a,Yuuji,Kaku,StoryAndArt
3b728528-5308-4de2-ba4a-ec8b339549c3,Koyoharu,Gotouge,StoryAndArt
d6e3a711-e8b5-4116-8209-b56061284f36,Ikki,Kajiwara,Story
2a9c73d6-354d-4359-9d82-2ce125eafda3,Tetsuya,Chiba,Art
386d56f5-73ab-4122-a89d-f0203c81271b,Makoto,Shinkai,Story
317af76c-2df0-4eb3-8354-fc81ccb9ee65,Ranmaru,Kotone,Art
edb3a903-024c-4c7d-b061-20675c9581c6,Katsura,Hoshino,StoryAndArt
c586e7ee-4965-4600-b8a8-152115045550,Yuusei,Matsui,StoryAndArt
c3086ff9-1536-46c9-86c5-afc17c6f8bd9,Shinobu,Ohtaka,StoryAndArt
707b5710-7694-4ee2-831c-e53c4c08454d,,CLAMP,StoryAndArt
aa37a654-a756-4ec6-9c7e-9783bd705f94,Kyousuke,Motomi,StoryAndArt
a9461cf1-5f82-4f46-b544-02cae7470bc6,Yukito,Kishiro,StoryAndArt
bebdd0bb-b654-47d6-b342-e9f67745df6a,Yuhki,Kamatani,StoryAndArt
7a342f68-4dd1-4a56-be5d-be11f760c264,Kouta,Hirano,StoryAndArt
1fabca2c-7456-4af1-bcfd-335c74bd404a,Haro,Aso,StoryAndArt
4b3232b5-e28d-47bd-8ba0-b4caac1148df,Tsutomu,Nihei,StoryAndArt
ee15bb43-4416-45e5-8649-67b30c8c1e27,Kamome,Shirahama,StoryAndArt
37330758-0421-4932-a003-44ac706d76c7,Mikoto,Yamaguchi,Story
