Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
1,Berserk,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/157897l.jpg
2,One Piece,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/253146l.jpg
3,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Seinen,Manga,Finished,24,https://cdn.myanimelist.net/images/manga/3/179882l.jpg
4,Oyasumi Punpun,Seinen,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/3/266834l.jpg
5,Fullmetal Alchemist,Shounen,Manga,Finished,27,https://cdn.myanimelist.net/images/manga/3/243675l.jpg
6,Vagabond,Seinen,Manga,OnHiatus,37,https://cdn.myanimelist.net/images/manga/1/259070l.jpg
7,Vinland Saga,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/188925l.jpg
8,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Seinen,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/3/188896l.jpg
9,Chainsaw Man,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/216464l.jpg
10,Monster,Seinen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/258224l.jpg
