Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
1,Berserk,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/157897l.jpg
2,One Piece,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/253146l.jpg
3,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Seinen,Manga,Finished,24,https://cdn.myanimelist.net/images/manga/3/179882l.jpg
4,Oyasumi Punpun,Seinen,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/3/266834l.jpg
5,Fullmetal Alchemist,Shounen,Manga,Finished,27,https://cdn.myanimelist.net/images/manga/3/243675l.jpg
6,Vagabond,Seinen,Manga,OnHiatus,37,https://cdn.myanimelist.net/images/manga/1/259070l.jpg
7,Vinland Saga,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/188925l.jpg
8,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Seinen,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/3/188896l.jpg
9,Chainsaw Man,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/216464l.jpg
10,Monster,Seinen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/258224l.jpg
11,Koe no Katachi,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/1/120529l.jpg
12,One Punch-Man,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/80661l.jpg
13,20th Century Boys,Seinen,Manga,Finished,22,https://cdn.myanimelist.net/images/manga/5/260006l.jpg
14,Death Note,Shounen,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/1/258245l.jpg
15,Haikyuu!!,Shounen,Manga,Finished,45,https://cdn.myanimelist.net/images/manga/2/258225l.jpg
16,Slam Dunk,Shounen,Manga,Finished,31,https://cdn.myanimelist.net/images/manga/2/258749l.jpg
17,Hunter x Hunter,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/253119l.jpg
18,Grand Blue,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/166124l.jpg
19,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/5/260043l.jpg
20,GTO,Shounen,Manga,Finished,25,https://cdn.myanimelist.net/images/manga/2/172982l.jpg
21,Kingdom,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/171872l.jpg
22,Shingeki no Kyojin,Shounen,Manga,Finished,34,https://cdn.myanimelist.net/images/manga/2/37846l.jpg
23,Spy x Family,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/219741l.jpg
24,Sayonara Eri,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/263979l.jpg
25,Tokyo Ghoul,Seinen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/3/114037l.jpg
26,Jujutsu Kaisen,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/210341l.jpg
27,"""Oshi no Ko""",Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/233991l.jpg
28,Akatsuki no Yona,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/269202l.jpg
29,Dorohedoro,Seinen,Manga,Finished,23,https://cdn.myanimelist.net/images/manga/3/258246l.jpg
30,Houseki no Kuni,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/115443l.jpg
31,Nana,Shoujo,Manga,OnHiatus,21,https://cdn.myanimelist.net/images/manga/1/262324l.jpg
32,Blue Lock,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/5/213340l.jpg
33,Pandora Hearts,Shounen,Manga,Finished,24,https://cdn.myanimelist.net/images/manga/2/169004l.jpg
34,Fruits Basket,Shoujo,Manga,Finished,23,https://cdn.myanimelist.net/images/manga/3/269697l.jpg
35,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Shounen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/269910l.jpg
36,Akira,Seinen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/271629l.jpg
37,Horimiya,Shounen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/2/245008l.jpg
38,Neon Genesis Evangelion,Seinen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/1/145061l.jpg
39,Pluto,Seinen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/264496l.jpg
40,Watashitachi no Shiawase na Jikan,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/66993l.jpg
41,Rurouni Kenshin: Meiji Kenkaku Romantan,Shounen,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/2/127583l.jpg
42,Hajime no Ippo,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/250313l.jpg
43,JoJo no Kimyou na Bouken Part 8: JoJolion,Seinen,Manga,Finished,27,https://cdn.myanimelist.net/images/manga/1/179885l.jpg
